2024-05-08 15:13:03.078 | INFO     | maa:my_callback:110 | {'device': 'Aur3'} - [基建] Dorm@2: ['夜莺']
2024-05-08 15:13:14.764 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.937356}, "task": "InfrastSortByTrustButtonClickAgain"}, "first": ["InfrastSortByTrustButton"], "pre_task": "InfrastSortByTrustButton", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:15.871 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.937356}, "task": "InfrastSortByTrustButtonClickAgain"}, "first": ["InfrastSortByTrustButton"], "pre_task": "InfrastSortByTrustButton", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:17.276 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.978153}, "task": "InfrastOperListTabWorkStatusUnClicked"}, "first": ["InfrastOperListTabMoodClick", "InfrastOperListTabWorkStatusUnClicked"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:18.876 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.978153}, "task": "InfrastOperListTabWorkStatusUnClicked"}, "first": ["InfrastOperListTabMoodClick", "InfrastOperListTabWorkStatusUnClicked"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:19.288 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.956512}, "task": "InfrastSortByTrustButton"}, "first": ["InfrastSortByTrustButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:19.388 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.956512}, "task": "InfrastSortByTrustButton"}, "first": ["InfrastSortByTrustButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:20.308 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.937356}, "task": "InfrastSortByTrustButtonClickAgain"}, "first": ["InfrastSortByTrustButton"], "pre_task": "InfrastSortByTrustButton", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:21.408 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.937356}, "task": "InfrastSortByTrustButtonClickAgain"}, "first": ["InfrastSortByTrustButton"], "pre_task": "InfrastSortByTrustButton", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:21.409 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickRect", "algorithm": "JustReturn", "exec_times": 1, "max_times": 2147483647, "result": null, "task": "InfrastDormConfirmButton"}, "first": ["InfrastDormConfirmButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:22.008 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickRect", "algorithm": "JustReturn", "exec_times": 1, "max_times": 2147483647, "result": null, "task": "InfrastDormConfirmButton"}, "first": ["InfrastDormConfirmButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:23.140 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "Stop", "algorithm": "JustReturn", "exec_times": 1, "max_times": 2147483647, "result": null, "task": "Stop"}, "first": ["InfrastDormConfirmButton"], "pre_task": "InfrastDormConfirmButton", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:23.142 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "Stop", "algorithm": "JustReturn", "exec_times": 1, "max_times": 2147483647, "result": null, "task": "Stop"}, "first": ["InfrastDormConfirmButton"], "pre_task": "InfrastDormConfirmButton", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:23.497 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.991609}, "task": "ReturnButton"}, "first": ["Infrast@ReturnButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:23.598 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "ClickSelf", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.991609}, "task": "ReturnButton"}, "first": ["Infrast@ReturnButton"], "pre_task": "", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:24.573 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.959132}, "task": "InfrastEnteredFlag"}, "first": ["Infrast@ReturnButton"], "pre_task": "Infrast@ReturnButton", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:24.574 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 2147483647, "result": {"score": 0.959132}, "task": "InfrastEnteredFlag"}, "first": ["Infrast@ReturnButton"], "pre_task": "Infrast@ReturnButton", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
2024-05-08 15:13:25.443 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.ConnectionInfo", "details": {"details": {"avg": 398, "max": 640, "min": 323}, "uuid": "964a0e3098094919", "what": "ScreencapCost"}}
2024-05-08 15:13:25.449 | DEBUG    | maa:my_callback:153 | {'device': 'Aur3'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "Stop", "algorithm": "JustReturn", "exec_times": 1, "max_times": 2147483647, "result": null, "task": "Stop"}, "first": ["Infrast@ReturnButton"], "pre_task": "InfrastEnteredFlag", "subtask": "ProcessTask", "taskchain": "Infrast", "taskid": 2, "uuid": "964a0e3098094919"}}
