2025-01-11 00:44:33.995 | INFO     | maa_streamlit.maa:my_callback:63 | {'profile': 'kaka'} - ⏩ StartUp
2025-01-11 00:45:28.633 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 2, "max_times": 2147483647, "result": {"score": 0.999568}, "task": "LoadingIcon"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp@StartToWakeUp@LoadingIcon", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:28.633 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 2, "max_times": 2147483647, "result": {"score": 0.999568}, "task": "LoadingIcon"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp@StartToWakeUp@LoadingIcon", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:29.661 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 3, "max_times": 2147483647, "result": {"score": 0.999568}, "task": "LoadingIcon"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp@StartToWakeUp@LoadingIcon", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:29.661 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 3, "max_times": 2147483647, "result": {"score": 0.999568}, "task": "LoadingIcon"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp@StartToWakeUp@LoadingIcon", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:30.686 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 4, "max_times": 2147483647, "result": {"score": 0.999568}, "task": "LoadingIcon"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp@StartToWakeUp@LoadingIcon", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:30.686 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 4, "max_times": 2147483647, "result": {"score": 0.999568}, "task": "LoadingIcon"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp@StartToWakeUp@LoadingIcon", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:33.366 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 3, "result": {"score": 0.998525}, "task": "StartUp"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp@StartToWakeUp@LoadingIcon", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:34.367 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 1, "max_times": 3, "result": {"score": 0.998525}, "task": "StartUp"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp@StartToWakeUp@LoadingIcon", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:35.441 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 2, "max_times": 3, "result": {"score": 0.998525}, "task": "StartUp"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:36.442 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 2, "max_times": 3, "result": {"score": 0.998525}, "task": "StartUp"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:37.526 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskStart", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 3, "max_times": 3, "result": {"score": 0.998539}, "task": "StartUp"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:38.527 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskCompleted", "details": {"class": "asst::ProcessTask", "details": {"action": "DoNothing", "algorithm": "MatchTemplate", "exec_times": 3, "max_times": 3, "result": {"score": 0.998539}, "task": "StartUp"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317"}}
2025-01-11 00:45:39.544 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.ConnectionInfo", "details": {"details": {"avg": 14, "max": 18, "min": 13}, "uuid": "1694094529805317", "what": "ScreencapCost"}}
2025-01-11 00:45:39.609 | DEBUG    | maa_streamlit.maa:my_callback:160 | {'profile': 'kaka'} - {"msg": "Message.SubTaskExtraInfo", "details": {"class": "asst::ProcessTask", "details": {"exec_times": 3, "max_times": 3, "task": "StartUp"}, "first": ["StartAtHome", "StartWithSanity", "StartUpBegin"], "pre_task": "StartUp", "subtask": "ProcessTask", "taskchain": "StartUp", "taskid": 1, "uuid": "1694094529805317", "what": "ExceededLimit"}}
2025-01-11 00:45:39.609 | INFO     | maa_streamlit.maa:my_callback:67 | {'profile': 'kaka'} - ✅ StartUp
